impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K24-173328,A718847,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718847,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Koal,Barn Cat,16 WEEKS,Neutered Male,Domestic Shorthair,Black,25-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718847,Image Copyright HLP Inc. 2024,"Received on: 2024-10-25<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Barn Cat<p/> Age: 16 WEEKS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K24-172696,A717774,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856163,In Public Home,,Dog,Unknown<p/>,Male,Scottish Terrier,Black,7-Oct-24,Date Found,221st  Ave SE & Witte Rd SE,Maple Valley,,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856163,Image Copyright HLP Inc. 2024,"Description: Orange collar, had clip attached to collar like he chewed through a tie out cable.<p/>Age: Unknown<p/>Found Near: 221st and Witte Road , Maple Valley WA  98038<p/>Found Date: 2024-10-07<p/>",
K24-172762,A717852,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856842,In Public Home,,Cat,Unknown<p/>,Male,Domestic Shorthair,Unknown,9-Oct-24,Date Found,98155 98155,,,98155,LAKE FOREST PAR,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856842,Image Copyright HLP Inc. 2024,"Description: No collar on, but he responded to me in a way as an indoor cat would being comfortable around humans. I wanted to to help the cat because the area is busy with many cars, not safe for a cat to be wandering. It’s not a neighborhood. Also, he hasn’t ate in awhile. You can tell from his bones, made me sad. So I took him home to feed him. <p/>Age: Unknown<p/>Found Near: Tukwila International Blvd and S. 148th St., Seattle WA  98168<p/>Found Date: 2024-10-09<p/>",
K24-172308,A717083,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A717083,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chilli,Cat,2 YEARS 1 MONTH,Spayed Female,Domestic Mediumhair,Gray / White,26-Sep-24,Received on,3900 block of  S 113TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A717083,Image Copyright HLP Inc. 2024,"Received on: 2024-09-26<p/> Found Near: 3900 block of  S 113TH ST<p/> Description: Gray / White Spayed Female Domestic Mediumhair Cat<p/> Age: 2 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173260,A717051,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A717051,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ellie,Cat,2 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Black / White,23-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A717051,Image Copyright HLP Inc. 2024,"Received on: 2024-10-23<p/> Description: Black / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS 1 MONTH<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ellie and I am available for adoption.<p/><p/>I was brought in by a good samaritan on September 26, 2024.<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/>",
K24-173264,A718721,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A718721,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Gavin,Barn Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,23-Oct-24,Received on,20100 block of  SE 240TH ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718721,Image Copyright HLP Inc. 2024,"Received on: 2024-10-23<p/> Found Near: 20100 block of  SE 240TH ST<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Barn Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-172530,A717492,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2854140,LOST,Small Cat,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,2-Oct-24,Date Lost,High  Point Dr SW & SW Morgan St,Seattle,,98126,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2854140,Image Copyright HLP Inc. 2024,"Description: 12 year old, muted calico, very sweet. She was wearing her collar with an AirTag but it looked to have been removed when abducted. The collar was Found on the sidewalk outside of our home.<p/>Age: Over 1 year<p/>Location Lost: High Point Drive SW @ Morgan Ave, Seattle WA  98126<p/>Lost Date: 2024-10-02<p/>",
K24-172852,A717989,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858061,LOST,Cheetah,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,10-Oct-24,Date Lost,S  Findlay St & 46th Ave S,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858061,Image Copyright HLP Inc. 2024,"Description: Cheetah is mostly dark gray but can appear to be brown in certain light (summer undercoat?) Both ears have tears on them but the left has two very distinct tears- one is rather deep. His nose is brick read. Eyes are green verging on yellow. He has micro stripes on his shoulder blades. His face has silver tabby or Somali/abyssinian markings (an ""M""). He has striped markings on his legs but not super distinct.<p/>Age: Over 1 year<p/>Location Lost: S Findlay St and 46th Ave S, Seattle WA  98118<p/>Lost Date: 2024-10-10<p/>",
K24-173657,A719457,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867911,In Public Home,Unknown,Dog,Over 1 year<p/>,Female,Norwich Terrier,Unknown,31-Oct-24,Date Found,SW  112th St & 28th Ave SW,King County,,98146,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867911,Image Copyright HLP Inc. 2024,"Description: Breed unknown.  Small blond colored dog with a long body and big ears that stand up straight.  Wearing a pink and white checked collar. <p/>Age: Over 1 year<p/>Found Near: 112th and 28th Ave SW, Seattle WA  98146<p/>Found Date: 2024-10-31<p/>",
K24-173352,A718884,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2864247,In Public Home,,Dog,Unknown<p/>,Male,Irish Terrier,Unknown,23-Oct-24,Date Found,CARLSON  ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2864247,Image Copyright HLP Inc. 2024,"<p/>Age: Unknown<p/>Found Near: Carlson Road, Vancouver WA  98661<p/>Found Date: 2024-10-23<p/>",
K24-173625,A719408,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867489,In Public Home,,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,1-Nov-24,Date Found,PACIFIC  HWY AND 272ND ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867489,Image Copyright HLP Inc. 2024,"Description: Young gray/brown tabby female.  Wearing a collar with paw prints and a bell.  No tag or microchip.  Thin fur, skinny tail. <p/>Age: Under 1 year<p/>Found Near: Pacific Hwy and 272nd St, Federal Way WA  98003<p/>Found Date: 2024-11-01<p/>",
K24-172466,A717137,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2853385,In Public Home,Marlon,Dog,Over 1 year<p/>,Neutered Male,Pit Bull,Br Brindle / White,27-Sep-24,Date Found,20700 block of  INTERNATIONAL BLVD,SeaTac,,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2853385,Image Copyright HLP Inc. 2024,<p/>Age: Over 1 year<p/>Found Near: 20700 block of  INTERNATIONAL BLVD<p/>Found Date: 2024-09-27<p/>,
K24-172964,A718206,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2859367,LOST,Trooper,Cat,Under 1 year<p/>,Male,American Shorthair,Brown,16-Oct-24,Date Lost,208TH  STREET AND 7THE PLACE SOUTH IN DES MOINES,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2859367,Image Copyright HLP Inc. 2024,"Description: Brown and goldish tabby.  Teenager, ie., 6 months old.  Red collar with red heart ID with name Trooper and my phone number 206-661-4801.<p/>Age: Under 1 year<p/>Location Lost: 208th Street and 7the Place South in Des Moines, Seattle WA  98198<p/>Lost Date: 2024-10-16<p/>",
K24-172406,A717251,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2852640,LOST,Isobel Taylo,Cat,Over 1 year<p/>,Male,American Shorthair,Black,26-Sep-24,Date Lost,98027 98027,,,98027,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2852640,Image Copyright HLP Inc. 2024,"Description: Male all black cat with bright yellow eyes. Was 12.4pounds when we took him to the vet Monday, is very tall and lanky. <p/>Age: Over 1 year<p/>Location Lost: Dogwood and Crescent Dr., Issaquah WA  98027<p/>Lost Date: 2024-09-26<p/>",
K24-173648,A715011,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A715011,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Boogie,Dog,11 MONTHS,Neutered Male,Labrador Retriever / Great Dane,Black / White,3-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A715011,Image Copyright HLP Inc. 2024,"Received on: 2024-11-03<p/> Description: Black / White<p/>  Neutered Male Labrador Retriever / Great Dane Dog<p/> Age: 11 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hello! My name is Boogie. I came to RASKC as a stray and now I'm looking for my new home! <p/><p/>I'm a BIG puppy! I'm very sweet but a bit on the shy side at first. I may not have had much socialization in the past so new experiences are kind of scary right now. I'm sure with some TLC and a nice, loving family I can grow to be as confident as I am big! Right now my favorite thing to do is try to get in my favorite staff members' laps, even though I clearly don't fit. I'll make it work! <p/><p/>I am 80lbs at only nine months old so my new family should be prepared for me to be a very large adult dog. <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",
K24-173734,A719650,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2868914,In Public Home,,Dog,Over 1 year<p/>,Male,Toy Poodle,White,6-Nov-24,Date Found,98005 98005,,,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2868914,Image Copyright HLP Inc. 2024,"Description: No microchip or collar. Estimating about 14 years old<p/>Age: Over 1 year<p/>Found Near:  Factoria Blvd SE, SE Newport Way, Bellevue WA  98006<p/>Found Date: 2024-11-06<p/>",
K24-173138,A715201,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Sandy,Cat,10 WEEKS,Spayed Female,Domestic Shorthair,Brn Tabby,29-Aug-24,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A715201,Image Copyright HLP Inc. 2024,Received on: 2024-08-29<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: $100<p/> Current Location: In RASKC Foster Home <p/><p/>,
K24-173640,A719432,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867593,In Public Home,,Dog,Unknown<p/>,Unknown,Alaskan Malamute,Unknown,3-Nov-24,Date Found,300 block of  S St SE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867593,Image Copyright HLP Inc. 2024,"<p/>Age: Unknown<p/>Found Near: 51st Ave S , Auburn WA  98001<p/>Found Date: 2024-11-03<p/>",
K24-172649,A717684,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2855596,LOST,Poochie,Dog,Over 1 year<p/>,Female,Miniature Pinscher,Unknown,6-Oct-24,Date Lost,9th  Aly & James St,Seattle,,98104,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2855596,Image Copyright HLP Inc. 2024,"Description: she is a mini pin Pomeranian mix her name is poochie and she was wearing a pink harness at the time with a blue leash attached to it no collar just the harness, she has red fur with like a block overtop coat and almost looks like a BABY FOX in the face and ears which prominently stick straight up but you can clearly see the Pomeranian mix in her from how her ears and tail look there is  no mistaking it. She is super sweet and friendly i dont know how she may act being Lost away from her mommy and daddy, but she shouldn't be aggressive as far as i know she ususally never is but she may be because of being away from us,  but she is my baby and my husbands baby he is in the hospital which is where she went missing from next too was down the block from Harborview medical emergency center   when i was about to go and visit him i fell asleep in the sun with her in some grass and she woke up well being the curious lil butthead she can be sometimes and that's when she apparently decided she was going to take herself on a walk ..      which has now resulted in this absolutely heartbreaking situation im dealing with now...                                                                                                                                                                                                                                                                                                                                                                                                                                          <p/>Age: Over 1 year<p/>Location Lost: 9th and james st. , Seattle WA  98104<p/>Lost Date: 2024-10-06<p/>",
K24-173538,A719280,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866509,In Public Home,Unknown,Dog,Over 1 year<p/>,Female,Siberian Husky,Unknown,31-Oct-24,Date Found,S  116th St & 3rd Ave S,Burien,,98168,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866509,Image Copyright HLP Inc. 2024,"Description: Small (approx 40-45 lb) Husky. Cream underbelly with darker upper body. Black ""mask"" facial markings. White eye spots.<p/>Age: Over 1 year<p/>Found Near: S 116th St and 3rd Ave S, Seattle WA  98168<p/>Found Date: 2024-10-31<p/>",
K24-173568,A719330,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719330,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Zeze,Cat,3 YEARS,Spayed Female,Domestic Shorthair,Black,1-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719330,Image Copyright HLP Inc. 2024,"Received on: 2024-11-01<p/> Description: Black<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is ZeZe and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on November 1st.<p/><p/>I am an independent kitty who likes to do my own thing! Once I get to know you I will gift you with my attention.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/>I am a sweet Cat who may need extra time and attention to warm up to new situations and new people. When I was a wee little one, I was not taught how nice and friendly people can be, but I am learning quickly! Though I may be timid at first, once you take the time to show me I can trust you I will show you just how wonderful I can be.<p/><p/>I would do best in a home with teens and adults who can respect my space as I will respect theirs.<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K24-173165,A718521,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2862513,LOST,Warden,Dog,Over 1 year<p/>,Male,Pit Bull,Brown,21-Oct-24,Date Lost,30TH  AVE S,BETWEEN WILLOW ST ALLEY AND S BRIGHT,,,OTHER,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2862513,Image Copyright HLP Inc. 2024,"Description: Brown and grey coloring, 3 legs. Lost the back left leg<p/>Age: Over 1 year<p/>Location Lost: 30th Ave S, between Willow St Alley and S Brighton St, Seattle WA  98108<p/>Lost Date: 2024-10-21<p/>",
K24-172587,A717588,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2854882,In Public Home,,Cat,Under 1 year<p/>,Male,American Shorthair,Brown,29-Sep-24,Date Found,"800 block of  45TH ST NE,",1,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2854882,Image Copyright HLP Inc. 2024,"Description: Tabby cat, male, wearing a grey flea collar. No chip. Looks well taken care of<p/>Age: Under 1 year<p/>Found Near: 800 block of  45TH ST NE, <p/>Found Date: 2024-09-29<p/>",
K24-172969,A718211,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Dog,NO AGE,Female,Pit Bull,Black / White,17-Oct-24,Received on,12400 block of  SE 216TH ST,,,,KENT,,,,Image Copyright HLP Inc. 2024,Received on: 2024-10-17<p/> Found Near: 12400 block of  SE 216TH ST<p/> Description: Black / White Female Pit Bull Dog<p/> Age: NO AGE<p/>,
K24-173561,A719309,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866581,LOST,Maui,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,31-Oct-24,Date Lost,NE  53rd St & Latona Ave NE,Seattle,,98105,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866581,Image Copyright HLP Inc. 2024,"Description: Orange tabby cat. He has a clipped ear and a bob tail. He is about 9-10 pounds. Green eyes. Can be skittish if approached. <p/>Age: Over 1 year<p/>Location Lost: 53rd and Latona, Seattle WA  98105<p/>Lost Date: 2024-10-31<p/>",
K24-173498,A719165,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719165,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Sabrina,Barn Cat,1 YEAR 6 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,30-Oct-24,Received on,2900 block of  S 200TH ST,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719165,Image Copyright HLP Inc. 2024,"Received on: 2024-10-30<p/> Found Near: 2900 block of  S 200TH ST<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Barn Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173608,A719377,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719377,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dusclops,Dog,1 YEAR 6 MONTHS,Neutered Male,Alaskan Husky / Mix,Black,2-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719377,Image Copyright HLP Inc. 2024,"Received on: 2024-11-02<p/> Description: Black<p/>  Neutered Male Alaskan Husky / Mix Dog<p/> Age: 1 YEAR 6 MONTHS<p/> Adoption Fee: $250<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Licorice and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 11/02/24<p/><p/>I weigh 74lbs and am considered a ""large breed"" dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"" and ""laydown.""<p/><p/>I am an affectionate lovebug who likes to do my own thing! I am engaging and need a handler who needs me just as much as I need them.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home with older children.<p/>",
K24-173497,A719158,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719158,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nala,Dog,7 MONTHS,Spayed Female,German Shepherd / Mix,Sable,30-Oct-24,Received on,15000 block of  MAIN ST,BELLEVUE,WA,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719158,Image Copyright HLP Inc. 2024,"Received on: 2024-10-30<p/> Found Near: 15000 block of  MAIN ST<p/> Description: Sable Spayed Female German Shepherd / Mix Dog<p/> Age: 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-172397,A717238,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2852521,LOST,Bruce,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,28-Sep-24,Date Lost,"17500 block of  SE 293RD PL, KENT , WA 98042",KENT  98042 UNITED S,,,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2852521,Image Copyright HLP Inc. 2024,"Description: Big black loving cat. He loves people and he always comes when I call his name. I miss him terribly and I wish I knew if he was ok or what happened to him :”( <p/>Age: Over 1 year<p/>Location Lost: 17527 se 293rd Pl, Kent , WA 98042 United States, Kent WA  98042<p/>Lost Date: 2024-09-28<p/>",
K24-173338,A718869,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Caroline,Cat,8 WEEKS,Female,Domestic Shorthair,Black / White,25-Oct-24,Received on,31000 block of  144TH AVE SE,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718869,Image Copyright HLP Inc. 2024,Received on: 2024-10-25<p/> Found Near: 31000 block of  144TH AVE SE<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 8 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K24-173232,A718638,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718638,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kendall,Rabbit Sh,2 YEARS,Spayed Female,Rabbit Sh,Black,22-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718638,Image Copyright HLP Inc. 2024,"Received on: 2024-10-22<p/> Description: Black<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Kendall and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by animal control on 10/22. <p/><p/>I could potentially be bonded to a new rabbit friend with proper introductions. If you are considering adding a second bunny to your family, familiarize yourself with the rabbit bonding process and don't hesitate to reach out if you would like us to host a speed date to find the best match.  <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/>",
K24-172751,A704553,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Torta,Cat,9 MONTHS,Spayed Female,Domestic Shorthair,Tortie,10-Oct-24,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A704553,Image Copyright HLP Inc. 2024,"Received on: 2024-10-10<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 9 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hello there, My name is Torta.<p/><p/>I'm currently in a foster home. This is what my current foster parents have to say about me:<p/><p/>Hi, my name is Torta!<p/>I was living at a foster home with my brother Spatlo since we were both scared of humans, but we eventually learned how nice humans can be! <p/>Both me and my sibling are high energy kitties who love chasing each other and playing with toys (especially wands!). We are also highly food motivated and have been caught multiple times biting through food bags! At our foster home we did a good job of coexisting with the senior cats, outside of stealing their food at times!<p/><p/>Of the two of us, I`m the more courageous and cleverer kitty,I`m easy to handle and pick up! When I first met the older cats, my foster dad would often have to hold me back to ensure I didn`t scare them. I also have a reputation as a troublemaker as I`m the one who finds food bags and starts breaking into them! But I`m also a purry kitty who loves head scritches and lying on a warm lap! When our foster dad was using his standing desk, we would often grab onto his leg as we wanted him to sit down with us!<p/><p/>We would probably like a quieter home as we still are shy around most people and new situations. I would like to be adopted with my brother Spatlo so we can continue to play and snuggle together!<p/>",
