impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Memo_cleaned
K24-172969,A718211,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Dog,,Female,Pit Bull,Black / White,17-Oct-24,Received on,12400 block of  SE 216TH ST,,,,KENT,,,,Image Copyright HLP Inc. 2024,Received on: 2024-10-17<p/> Found Near: 12400 block of  SE 216TH ST<p/> Description: Black / White Female Pit Bull Dog<p/> Age: NO AGE<p/>,black white female pit bull dog
K24-173561,A719309,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2866581,LOST,Maui,Cat,1.5,Male,American Shorthair,Unknown,31-Oct-24,Date Lost,NE  53rd St & Latona Ave NE,Seattle,,98105.0,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2866581,Image Copyright HLP Inc. 2024,"Description: Orange tabby cat. He has a clipped ear and a bob tail. He is about 9-10 pounds. Green eyes. Can be skittish if approached. <p/>Age: Over 1 year<p/>Location Lost: 53rd and Latona, Seattle WA  98105<p/>Lost Date: 2024-10-31<p/>",orange tabby cat clipped ear bob tail pounds green eyes skittish approached latona seattle
K24-173498,A719165,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719165,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Sabrina,Barn Cat,1.5,Neutered Male,Domestic Shorthair,Brn Tabby,30-Oct-24,Received on,2900 block of  S 200TH ST,SEATAC,WA,98198.0,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719165,Image Copyright HLP Inc. 2024,"Received on: 2024-10-30<p/> Found Near: 2900 block of  S 200TH ST<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Barn Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",brn tabby neutered male domestic shorthair barn cat pet adoption center kent
K24-173608,A719377,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719377,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dusclops,Dog,1.5,Neutered Male,Alaskan Husky / Mix,Black,2-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719377,Image Copyright HLP Inc. 2024,"Received on: 2024-11-02<p/> Description: Black<p/>  Neutered Male Alaskan Husky / Mix Dog<p/> Age: 1 YEAR 6 MONTHS<p/> Adoption Fee: $250<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Licorice and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 11/02/24<p/><p/>I weigh 74lbs and am considered a ""large breed"" dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"" and ""laydown.""<p/><p/>I am an affectionate lovebug who likes to do my own thing! I am engaging and need a handler who needs me just as much as I need them.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home with older children.<p/>",black neutered male alaskan husky mix dog pet adoption center kent licorice available adoptioni good samaritan weigh considered large breed dogi smart dog shelter practicing sit laydowni affectionate lovebug thing engaging handler needs much themi full energy love play calm people calm best exercise mind busybecause shy nature best calm quiet home older children
K24-173497,A719158,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719158,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nala,Dog,0.5833333333333334,Spayed Female,German Shepherd / Mix,Sable,30-Oct-24,Received on,15000 block of  MAIN ST,BELLEVUE,WA,98007.0,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719158,Image Copyright HLP Inc. 2024,"Received on: 2024-10-30<p/> Found Near: 15000 block of  MAIN ST<p/> Description: Sable Spayed Female German Shepherd / Mix Dog<p/> Age: 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",main sable spayed female german shepherd mix dog pet adoption center kent
K24-172397,A717238,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2852521,LOST,Bruce,Cat,1.5,Male,Domestic Shorthair,Black,28-Sep-24,Date Lost,"17500 block of  SE 293RD PL, KENT , WA 98042",KENT  98042 UNITED S,,,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2852521,Image Copyright HLP Inc. 2024,"Description: Big black loving cat. He loves people and he always comes when I call his name. I miss him terribly and I wish I knew if he was ok or what happened to him :”( <p/>Age: Over 1 year<p/>Location Lost: 17527 se 293rd Pl, Kent , WA 98042 United States, Kent WA  98042<p/>Lost Date: 2024-09-28<p/>",big black loving cat loves people comes call miss terribly wish knew ok happened kent united states kent
K24-173338,A718869,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Caroline,Cat,0.15384615384615385,Female,Domestic Shorthair,Black / White,25-Oct-24,Received on,31000 block of  144TH AVE SE,KENT,WA,98042.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718869,Image Copyright HLP Inc. 2024,Received on: 2024-10-25<p/> Found Near: 31000 block of  144TH AVE SE<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 8 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,black white female domestic shorthair cat raskc foster home
K24-173232,A718638,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718638,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kendall,Rabbit Sh,2.0,Spayed Female,Rabbit Sh,Black,22-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718638,Image Copyright HLP Inc. 2024,"Received on: 2024-10-22<p/> Description: Black<p/>  Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Kendall and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by animal control on 10/22. <p/><p/>I could potentially be bonded to a new rabbit friend with proper introductions. If you are considering adding a second bunny to your family, familiarize yourself with the rabbit bonding process and don't hesitate to reach out if you would like us to host a speed date to find the best match.  <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/>",black spayed female rabbit rabbit pet adoption center kent kendall rabbit looking forever home animal control potentially bonded rabbit friend proper introductions considering adding second bunny family familiarize rabbit bonding process hesitate reach host speed best match looking someone love attention comes feeding proper balance pellets timothy hay fresh vegetables access fresh water housing appropriate room roam separate spaces hidey house litter box play area food water cage outside enclosure least day stretch legs explore exercise bunny proof space cleaning cage grooming important gentle soul things slow
K24-172751,A704553,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Torta,Cat,0.75,Spayed Female,Domestic Shorthair,Tortie,10-Oct-24,Received on,21615 64TH AVE S,KENT,WA,98032.0,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A704553,Image Copyright HLP Inc. 2024,"Received on: 2024-10-10<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 9 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hello there, My name is Torta.<p/><p/>I'm currently in a foster home. This is what my current foster parents have to say about me:<p/><p/>Hi, my name is Torta!<p/>I was living at a foster home with my brother Spatlo since we were both scared of humans, but we eventually learned how nice humans can be! <p/>Both me and my sibling are high energy kitties who love chasing each other and playing with toys (especially wands!). We are also highly food motivated and have been caught multiple times biting through food bags! At our foster home we did a good job of coexisting with the senior cats, outside of stealing their food at times!<p/><p/>Of the two of us, I`m the more courageous and cleverer kitty,I`m easy to handle and pick up! When I first met the older cats, my foster dad would often have to hold me back to ensure I didn`t scare them. I also have a reputation as a troublemaker as I`m the one who finds food bags and starts breaking into them! But I`m also a purry kitty who loves head scritches and lying on a warm lap! When our foster dad was using his standing desk, we would often grab onto his leg as we wanted him to sit down with us!<p/><p/>We would probably like a quieter home as we still are shy around most people and new situations. I would like to be adopted with my brother Spatlo so we can continue to play and snuggle together!<p/>",tortie spayed female domestic shorthair cat raskc foster home tortaim foster home current foster parents say mehi tortai living foster home brother spatlo scared humans learned nice humans sibling high energy kitties love chasing playing toys wands highly food motivated caught multiple times biting food bags foster home good job coexisting senior cats outside stealing food timesof two courageous cleverer kittyim easy handle first met older cats foster dad hold back ensure didnt scare reputation troublemaker one finds food bags starts breaking purry kitty loves head scritches lying warm lap foster dad using standing desk grab onto leg wanted sit uswe probably quieter home shy people situations adopted brother spatlo continue play snuggle together
K24-173664,A719471,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719471,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Blue,Dog,3.0,Neutered Male,Siberian Husky,Black / White,4-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719471,Image Copyright HLP Inc. 2024,"Received on: 2024-11-04<p/> Description: Black / White<p/>  Neutered Male Siberian Husky Dog<p/> Age: 3 YEARS<p/> Adoption Fee: $250<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Blue and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 11/04/24<p/><p/>I weigh 60lbs and am considered a ""large breed"" dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit,"" but I am a stubborn husky and like to do my own thing.<p/><p/>I am an affectionate lovebug who likes to do my own thing! I am engaging and need a handler who needs me just as much as I need them. I am goofy, fun-loving, typical husky.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home with older children.<p/>",black white neutered male siberian husky dog pet adoption center kent blue available adoptioni good samaritan weigh considered large breed dogi smart dog shelter practicing sit stubborn husky thingi affectionate lovebug thing engaging handler needs much goofy funloving typical huskyi full energy love play calm people calm best exercise mind busybecause shy nature best calm quiet home older children
K24-173610,A719379,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867177,LOST,Caine,Cat,1.5,Male,American Shorthair,Black,26-Oct-24,Date Lost,SW  41st St & Lind Ave SW,Renton,,98057.0,OTHER,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867177,Image Copyright HLP Inc. 2024,"Description: Black with white strip one nose, white boots on paws, white in chest, 2 black spots on nose<p/>Age: Over 1 year<p/>Location Lost: Sw 41 st and Linda Ave sw, Renton WA  98057<p/>Lost Date: 2024-10-26<p/>",black white strip one nose white boots paws white chest black spots nose linda renton
K24-172613,A717613,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2855180,In Public Home,,Dog,,Female,American Pit Bull Terrier,Unknown,6-Oct-24,Date Found,Military  Rd S & 31st Ave S,King County,,98003.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2855180,Image Copyright HLP Inc. 2024,"<p/>Age: Unknown<p/>Found Near: Military and 31st Ave S, Auburn WA  98001<p/>Found Date: 2024-10-06<p/>",military auburn
K24-173628,A719411,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867515,LOST,Beans,Cat,1.5,Female,Siamese,Brown,2-Nov-24,Date Lost,4600 block of  FOREST AVE SE,Mercer Island,,98040.0,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867515,Image Copyright HLP Inc. 2024,"Description: She is a dark siamese with white feet, very shy, does not have any collar and is not used to be outside.<p/>Age: Over 1 year<p/>Location Lost: 4646 Forest Avenue SE, Mercer Island WA  98040<p/>Lost Date: 2024-11-02<p/>",dark siamese white feet shy collar used outside forest mercer island
K24-173483,A719121,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2865975,LOST,Jackson,Cat,1.5,Male,Domestic Mediumhair,Unknown,29-Oct-24,Date Lost,3500 block of  S 251ST ST,Kent,,98032.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2865975,Image Copyright HLP Inc. 2024,"Description: light orange tabby. White nose mouth area. Orange/brown spots on bottom of heels.<p/>Age: Over 1 year<p/>Location Lost: 3523 S. 251st, Kent WA  98032<p/>Lost Date: 2024-10-29<p/>",light orange tabby white nose mouth area orangebrown spots bottom heels kent
K24-173310,A718811,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A718811,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Gato,Barn Cat,0.3333333333333333,Spayed Female,Domestic Shorthair,Torbie,24-Oct-24,Received on,13800 block of  37TH AVE S,TUKWILA,WA,98168.0,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718811,Image Copyright HLP Inc. 2024,"Received on: 2024-10-24<p/> Found Near: 13800 block of  37TH AVE S<p/> Description: Torbie Spayed Female Domestic Shorthair Barn Cat<p/> Age: 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",torbie spayed female domestic shorthair barn cat pet adoption center kent
K24-173525,A719265,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719265,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Winter,Dog,,Female,Alaskan Husky,White / White,31-Oct-24,Received on,20600 block of  TINKHAM RD,NORTH BEND,WA,98045.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719265,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Found Near: 20600 block of  TINKHAM RD<p/> Description: White / White Female Alaskan Husky Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",tinkham white white female alaskan husky dog pet adoption center kent
K24-173732,A719641,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719641,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,,Unknown,Domestic Shorthair,Gray Tabby,6-Nov-24,Received on,2000 block of  S 136TH ST,SEATAC,WA,98168.0,SEATAC,47.481788,-122.307172,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719641,Image Copyright HLP Inc. 2024,"Received on: 2024-11-06<p/> Found Near: 2000 block of  S 136TH ST<p/> Description: Gray Tabby Unknown Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",gray tabby domestic shorthair cat pet adoption center kent
K24-173605,A719371,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719371,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Spirit,Dog,6.0,Neutered Male,Pit Bull,Brown / White,2-Nov-24,Received on,4400 block of  154TH PL SE,BELLEVUE,WA,98006.0,BELLEVUE,47.566798,-122.134164,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719371,Image Copyright HLP Inc. 2024,"Received on: 2024-11-02<p/> Found Near: 4400 block of  154TH PL SE<p/> Description: Brown / White Neutered Male Pit Bull Dog<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",brown white neutered male pit bull dog pet adoption center kent
K24-173675,A719498,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719498,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,0.17307692307692307,Female,Domestic Shorthair,Black / White,4-Nov-24,Received on,17600 block of  SE MAY VALLEY RD,RENTON,WA,98059.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719498,Image Copyright HLP Inc. 2024,"Received on: 2024-11-04<p/> Found Near: 17600 block of  SE MAY VALLEY RD<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",valley black white female domestic shorthair cat pet adoption center kent
K24-173337,A718868,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Jenna,Cat,0.15384615384615385,Female,Domestic Shorthair,Black,25-Oct-24,Received on,31000 block of  144TH AVE SE,KENT,WA,98042.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718868,Image Copyright HLP Inc. 2024,Received on: 2024-10-25<p/> Found Near: 31000 block of  144TH AVE SE<p/> Description: Black Female Domestic Shorthair Cat<p/> Age: 8 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,black female domestic shorthair cat raskc foster home
K24-173724,A717625,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Spice,Cat,0.17307692307692307,Spayed Female,Domestic Shorthair,Calico,6-Oct-24,Received on,21615 64TH AVE S,KENT,WA,98032.0,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A717625,Image Copyright HLP Inc. 2024,"Received on: 2024-10-06<p/> Description: Calico Spayed Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Adoption Fee: $100<p/> Current Location: In RASKC Foster Home <p/>This little calico girl is highly interactive and always wants to play - her favorite game is chasing feathers on a string. She is super curious about everything you do and wants to be involved. If you walk away she follows and if you shut the door she meows at you to come back. She likes to do zoomies back and forth across your lap and eventually may settle on or next to your lap. She is wary of dogs but curious, and with another kitten she can be a little bossy. Spice is an all around sweet, smart and sassy kitten.<p/>",calico spayed female domestic shorthair cat raskc foster home little calico girl highly interactive wants play favorite game chasing feathers string super curious everything wants involved walk away follows shut door meows back zoomies back forth across lap settle next lap wary dogs curious another kitten little bossy spice sweet smart sassy kitten
K24-173700,A719558,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719558,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5.0,Neutered Male,Domestic Shorthair,Brn Tabby / White,5-Nov-24,Received on,47000 block of  286TH AVE SE,ENUMCLAW,WA,98022.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719558,Image Copyright HLP Inc. 2024,"Received on: 2024-11-05<p/> Found Near: 47000 block of  286TH AVE SE<p/> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",brn tabby white neutered male domestic shorthair cat pet adoption center kent
K24-173160,A669813,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A669813,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Steel,Dog,2.5,Neutered Male,Black Mouth Cur / Mix,Blue,21-Oct-24,Received on,7700 block of  LAKE ALICE RD SE,FALL CITY,WA,98024.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669813,Image Copyright HLP Inc. 2024,"Received on: 2024-10-21<p/> Found Near: 7700 block of  LAKE ALICE RD SE<p/> Description: Blue Neutered Male Black Mouth Cur / Mix Dog<p/> Age: 2 YEARS 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",lake alice blue neutered male black mouth cur mix dog pet adoption center kent
K24-173629,A719412,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867539,In Public Home,,Dog,,Female,Border Collie,Unknown,3-Nov-24,Date Found,29800 block of  11TH AVE SW,Federal Way,,98023.0,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867539,Image Copyright HLP Inc. 2024,"Description: Black and white two collars, one possible invisible fence collar.  <p/>Age: Unknown<p/>Found Near: 29800 block of  11TH AVE SW<p/>Found Date: 2024-11-03<p/>",black white two collars one possible invisible fence collar
K24-172544,A717537,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2854483,In Public Home,Unknown,Dog,0.5,Male,Labrador Retriever,Black,30-Sep-24,Date Found,108TH  PLACE SE & SE 240TH PL,Kent,WA,98031.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2854483,Image Copyright HLP Inc. 2024,"Description: All black male w/ white patch on chest. Young, not full grown. Not fixed. No collar. No chip. Found abandoned at the Kent YMCA dog park. Very friendly. Knows basic commands. <p/>Age: Under 1 year<p/>Found Near: 108th & 240th , Kent WA  98031<p/>Found Date: 2024-09-30<p/>",black male w white patch chest young full grown fixed collar chip found abandoned kent ymca dog park friendly knows basic commands kent
K24-173399,A718951,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2864815,LOST,Angela Rosen,Cat,1.5,Male,Domestic Shorthair,Unknown,25-Oct-24,Date Lost,Cascadia  Ave S & S Ridgeway Pl,Seattle,,98144.0,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2864815,Image Copyright HLP Inc. 2024,"Description: My cat is gray and looks like a tabby cat. He had some skin issues on his bottom recently, so he has a little clumps of hair kind of missing from the back of him.<p/>Age: Over 1 year<p/>Location Lost: Cascadia and Ridgeway Seattle , Seattle WA  98144<p/>Lost Date: 2024-10-25<p/>",cat gray looks tabby cat skin issues bottom recently little clumps hair kind missing back cascadia ridgeway seattle seattle
K24-173621,A719403,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867322,LOST,Ghost,Dog,0.5,Female,American Bulldog,Unknown,1-Nov-24,Date Lost,NW  4th Pl & Rainier Ave N,Renton,,98057.0,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867322,Image Copyright HLP Inc. 2024,"Description: Bully/Blue Nose Pit mix<p/>Age: Under 1 year<p/>Location Lost: 4th and Rainier, Renton WA  98057<p/>Lost Date: 2024-11-01<p/>",bullyblue nose pit mix rainier renton
K24-173310,A718811,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718811,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Gato,Barn Cat,0.3333333333333333,Spayed Female,Domestic Shorthair,Torbie,24-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718811,Image Copyright HLP Inc. 2024,"Received on: 2024-10-24<p/> Description: Torbie<p/>  Spayed Female Domestic Shorthair Barn Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $0.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Gato and I am a ""Working Cat"". I am seeking a home where I can put my hunting skills to work! <p/><p/>I am a cat that has had some interactions with humans and I'm likely interested in being pet and handled once I learn to trust you! Being an indoor only cat is not enough stimulation for me and I would like to hunt rodents in order to stay enriched and active.<p/><p/>If you have never had working cats before, please reach out to barncatsrus@gmail.com to get all of the resources you will need to set up before you bring me home.<p/>",torbie spayed female domestic shorthair barn cat pet adoption center kent gato working cat seeking home put hunting skills work cat interactions humans interested pet handled learn trust indoor cat stimulation hunt rodents order enriched activeif working cats reach barncatsrusgmailcom resources home
K24-172926,A718161,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2859187,LOST,Cleo,Cat,1.5,Female,American Shorthair,Unknown,12-Oct-24,Date Lost,14th  Ave NW & NW 65th St,Seattle,,98107.0,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2859187,Image Copyright HLP Inc. 2024,"Description: Cleo is an INDOOR CAT. She has never been out for more than a few minutes at a time. I’m sure she is hungry and scared. <p/>She is a brown tabby cat with gold/tan highlights, little bit of white. Her fur is sleek, but her belly is fluffy. She’s about 10 years old. Cleo is missing a tooth on her upper right side and her mouth might appear a little lopsided. She was chipped by her previous owner, Christy Fisher, but I don't have the chip information.<p/>Cleo is friendly but a little skittish with strangers.<p/>She likes to be carried, by me at least, so she might not mind being picked up. <p/><p/>Age: Over 1 year<p/>Location Lost: 14th Ave NW and NW 65th, Seattle WA  98107<p/>Lost Date: 2024-10-12<p/>",cleo indoor cat minutes hungry scared brown tabby cat goldtan highlights little bit white fur sleek belly fluffy cleo missing tooth upper right side mouth appear little lopsided chipped previous owner christy fisher chip informationcleo friendly little skittish strangersshe carried least mind picked seattle
K24-173736,A719657,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2868987,In Public Home,,Dog,1.5,Female,Rottweiler,Black,6-Nov-24,Date Found,11200 block of  DES MOINES DRIVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2868987,Image Copyright HLP Inc. 2024,Description: Female rottie mix seems young like maybe 1-3 years old. Metal choke collar and grey flea collar. Like car rides hopped right in. Not scared of baths let me give her one. Gets along with other dogs and doesn't mind my cats<p/>Age: Over 1 year<p/>Found Near: 11200 block of  DES MOINES DRIVE<p/>Found Date: 2024-11-06<p/>,female rottie mix seems young maybe metal choke collar grey flea collar car rides hopped right scared baths let one gets along dogs doesnt mind cats des moines drive
